Unnamed: 0,Unnamed: 1,Unnamed: 2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+,Unnamed: 15,Unnamed: 16
B01,"軒尼詩
Hennessy","男
Male",47,104,154,142,180,180,197,228,258,234,219,431,2374,"4 ,850"
,,"女
Female",41,101,131,144,190,221,209,227,253,250,210,499,2476,
B02,"愛群
Oi Kwan","男
Male",50,137,126,204,192,239,233,234,272,248,251,563,2749,"5 ,649"
,,"女
Female",46,122,133,176,208,249,243,259,316,282,296,570,2900,
B03,"鵝頸
Canal Road","男
Male",41,108,94,147,166,209,190,199,195,200,236,463,2248,"4 ,737"
,,"女
Female",45,89,124,131,205,188,203,231,251,270,246,506,2489,
B04,"維園
Victoria Park","男
Male",66,130,150,193,247,258,239,281,273,270,313,534,2954,"6 ,312"
,,"女
Female",52,148,154,207,260,309,288,333,318,315,367,607,3358,
B05,"天后
Tin Hau","男
Male",52,144,157,230,240,326,314,284,322,306,344,858,3577,"7 ,441"
,,"女
Female",47,134,168,212,263,334,294,306,363,374,469,900,3864,
B06,"銅鑼灣
Causeway Bay","男
Male",31,85,86,129,206,200,198,211,196,207,228,534,2311,"4 ,871"
,,"女
Female",38,77,100,132,187,214,208,215,256,237,275,621,2560,
B07,"大坑
Tai Hang","男
Male",51,106,100,137,211,253,282,293,280,244,200,437,2594,"5 ,622"
,,"女
Female",44,126,133,157,232,305,291,363,361,249,250,517,3028,
B08,"渣甸山
Jardine's Lookout","男
Male",76,148,142,128,144,239,269,369,396,351,296,428,2986,"6 ,057"
,,"女
Female",68,155,146,152,186,280,311,432,380,293,254,414,3071,
B09,"樂活
Broadwood","男
Male",55,148,149,127,150,185,261,299,330,317,283,329,2633,"5 ,462"
,,"女
Female",59,153,144,163,178,236,253,362,394,283,244,360,2829,
B10,"跑馬地
Happy Valley","男
Male",47,74,91,124,182,256,266,257,229,218,243,447,2434,"5 ,276"
,,"女
Female",40,63,77,148,246,291,318,277,248,290,271,573,2842,
B11,"司徒拔道
Stubbs Road","男
Male",36,103,105,105,133,192,206,285,255,301,315,506,2542,"5 ,034"
,,"女
Female",40,93,96,116,138,219,239,284,274,285,249,459,2492,
B12,"修頓
Southorn","男
Male",43,118,127,133,148,201,220,222,228,223,251,387,2301,"4 ,705"
,,"女
Female",29,97,119,135,197,216,222,241,262,251,223,412,2404,
B13,"大佛口
Tai Fat Hau","男
Male",26,82,102,124,145,199,174,245,237,233,222,403,2192,"4 ,642"
,,"女
Female",25,101,122,150,157,226,210,217,268,249,242,483,2450,
,,"總計
Total",1195,2946,3230,3946,4991,6225,6338,7154,7415,6980,6997,13241,"每區總計
Grand Total",70658
