 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4, .5, .6
D01,"香港仔
Aberdeen","男
Male",120,293,296,380,415,431,452,549,583,493,400,540,4952,"1 0,396",,
D01,,"女
Female",138,335,324,413,454,457,537,679,626,503,360,618,5444,,,
D02,"鴨脷洲邨
Ap Lei Chau Estate","男
Male",90,232,199,228,318,333,301,354,329,344,391,817,3936,"8 ,475",,
D02,,"女
Female",104,224,228,223,288,321,342,390,422,510,565,922,4539,,,
D03,"鴨脷洲北
Ap Lei Chau North","男
Male",84,181,180,185,181,209,344,426,373,240,166,246,2815,"5 ,973",,
D03,,"女
Female",92,209,173,198,230,294,449,498,353,210,136,316,3158,,,
D04,"利東一
Lei Tung I","男
Male",76,250,362,547,442,360,246,369,619,648,488,541,4948,"1 0,114",,
D04,,"女
Female",53,220,366,541,429,336,265,511,829,672,447,497,5166,,,
D05,"利東二
Lei Tung II","男
Male",54,160,244,492,382,264,236,294,434,556,443,755,4314,"8 ,914",,
D05,,"女
Female",43,149,255,468,295,256,246,345,685,617,427,814,4600,,,
D06,"海怡東
South Horizons East","男
Male",149,293,192,177,219,273,383,633,574,374,244,281,3792,"7 ,766",,
D06,,"女
Female",138,293,194,208,233,361,500,686,530,316,200,315,3974,,,
D07,"海怡西
South Horizons West","男
Male",171,327,238,202,218,300,372,650,721,449,275,246,4169,"8 ,621",,
D07,,"女
Female",143,352,273,225,279,396,515,764,648,335,228,294,4452,,,
D08,"華貴
Wah Kwai","男
Male",91,261,363,344,317,383,349,576,658,481,439,870,5132,"1 0,786",,
D08,,"女
Female",89,267,342,353,320,352,451,636,678,543,427,1196,5654,,,
D09,"華富南
Wah Fu South","男
Male",90,263,215,233,187,212,279,306,319,343,279,854,3580,"7 ,668",,
D09,,"女
Female",99,212,204,189,165,260,309,372,402,398,385,1093,4088,,,
D10,"華富北
Wah Fu North","男
Male",135,263,332,287,242,313,333,375,406,352,329,885,4252,"8 ,730",,
D10,,"女
Female",114,263,251,241,195,310,365,441,432,455,453,958,4478,,,
D11,"薄扶林
Pokfulam","男
Male",66,136,128,149,194,259,308,380,365,362,307,302,2956,"5 ,979",,
D11,,"女
Female",63,158,153,164,224,301,380,392,364,316,262,246,3023,,,
D12,"置富
Chi Fu","男
Male",94,250,235,262,290,308,330,435,508,499,490,633,4334,"9 ,177",,
D12,,"女
Female",83,297,240,282,312,364,426,546,666,523,465,639,4843,,,
D13,"田灣
Tin Wan","男
Male",117,283,299,270,309,316,404,527,476,415,355,694,4465,"9 ,099",,
D13,,"女
Female",96,296,272,289,285,318,386,487,541,446,347,871,4634,,,
D14,"石漁
Shek Yue","男
Male",126,264,370,386,349,402,389,559,601,494,439,1032,5411,"1 1,0302",,
D14,,"女
Female",97,284,365,329,317,371,399,563,620,562,522,1462,5891,,,
D15,"黃竹坑
Wong Chuk Hang","男
Male",73,194,169,227,286,477,478,501,416,321,317,657,4116,"8 ,824",,
D15,,"女
Female",81,181,187,256,396,555,513,517,451,374,377,820,4708,,,
D16,"海灣
Bays Area","男
Male",40,97,86,90,94,134,160,214,272,241,248,292,1968,"3 ,821",,
D16,,"女
Female",37,94,73,84,119,153,214,234,243,213,196,193,1853,,,
D17,"赤柱及石澳
Stanley & Shek O","男
Male",94,194,224,214,222,384,424,464,509,386,283,403,3801,"7 ,653",3801.0,"7 ,653"
D17,,"女
Female",87,192,195,196,249,448,433,493,488,361,267,443,3852,,,
,,"總計
Total",3227,7967,8227,9332,9455,11211,12518,16166,17141,14352,11957,21745,143298,,,
